hRate,dTime,landscape,patch,gen,count,harvest
0,1,1,1,0,20,0
0,1,1,2,0,0,0
0,1,1,3,0,0,0
0,1,1,4,0,0,0
0,1,1,5,0,0,0
0,1,1,6,0,0,0
0,1,2,1,0,20,0
0,1,2,2,0,0,0
0,1,2,3,0,0,0
0,1,2,4,0,0,0
0,1,2,5,0,0,0
0,1,2,6,0,0,0
0.25,1,1,1,0,20,0
0.25,1,1,2,0,0,0
0.25,1,1,3,0,0,0
0.25,1,1,4,0,0,0
0.25,1,1,5,0,0,0
0.25,1,1,6,0,0,0
0.25,1,2,1,0,20,0
0.25,1,2,2,0,0,0
0.25,1,2,3,0,0,0
0.25,1,2,4,0,0,0
0.25,1,2,5,0,0,0
0.25,1,2,6,0,0,0
0.5,1,1,1,0,20,0
0.5,1,1,2,0,0,0
0.5,1,1,3,0,0,0
0.5,1,1,4,0,0,0
0.5,1,1,5,0,0,0
0.5,1,1,6,0,0,0
0.5,1,2,1,0,20,0
0.5,1,2,2,0,0,0
0.5,1,2,3,0,0,0
0.5,1,2,4,0,0,0
0.5,1,2,5,0,0,0
0.5,1,2,6,0,0,0
0.75,1,1,1,0,20,0
0.75,1,1,2,0,0,0
0.75,1,1,3,0,0,0
0.75,1,1,4,0,0,0
0.75,1,1,5,0,0,0
0.75,1,1,6,0,0,0
0.75,1,2,1,0,20,0
0.75,1,2,2,0,0,0
0.75,1,2,3,0,0,0
0.75,1,2,4,0,0,0
0.75,1,2,5,0,0,0
0.75,1,2,6,0,0,0
0,6,1,1,0,20,0
0,6,1,2,0,0,0
0,6,1,3,0,0,0
0,6,1,4,0,0,0
0,6,1,5,0,0,0
0,6,1,6,0,0,0
0,6,2,1,0,20,0
0,6,2,2,0,0,0
0,6,2,3,0,0,0
0,6,2,4,0,0,0
0,6,2,5,0,0,0
0,6,2,6,0,0,0
0.25,6,1,1,0,20,0
0.25,6,1,2,0,0,0
0.25,6,1,3,0,0,0
0.25,6,1,4,0,0,0
0.25,6,1,5,0,0,0
0.25,6,1,6,0,0,0
0.25,6,2,1,0,20,0
0.25,6,2,2,0,0,0
0.25,6,2,3,0,0,0
0.25,6,2,4,0,0,0
0.25,6,2,5,0,0,0
0.25,6,2,6,0,0,0
0.5,6,1,1,0,20,0
0.5,6,1,2,0,0,0
0.5,6,1,3,0,0,0
0.5,6,1,4,0,0,0
0.5,6,1,5,0,0,0
0.5,6,1,6,0,0,0
0.5,6,2,1,0,20,0
0.5,6,2,2,0,0,0
0.5,6,2,3,0,0,0
0.5,6,2,4,0,0,0
0.5,6,2,5,0,0,0
0.5,6,2,6,0,0,0
0.75,6,1,1,0,20,0
0.75,6,1,2,0,0,0
0.75,6,1,3,0,0,0
0.75,6,1,4,0,0,0
0.75,6,1,5,0,0,0
0.75,6,1,6,0,0,0
0.75,6,2,1,0,20,0
0.75,6,2,2,0,0,0
0.75,6,2,3,0,0,0
0.75,6,2,4,0,0,0
0.75,6,2,5,0,0,0
0.75,6,2,6,0,0,0
0,24,1,1,0,20,0
0,24,1,2,0,0,0
0,24,1,3,0,0,0
0,24,1,4,0,0,0
0,24,1,5,0,0,0
0,24,1,6,0,0,0
0,24,2,1,0,20,0
0,24,2,2,0,0,0
0,24,2,3,0,0,0
0,24,2,4,0,0,0
0,24,2,5,0,0,0
0,24,2,6,0,0,0
0.25,24,1,1,0,20,0
0.25,24,1,2,0,0,0
0.25,24,1,3,0,0,0
0.25,24,1,4,0,0,0
0.25,24,1,5,0,0,0
0.25,24,1,6,0,0,0
0.25,24,2,1,0,20,0
0.25,24,2,2,0,0,0
0.25,24,2,3,0,0,0
0.25,24,2,4,0,0,0
0.25,24,2,5,0,0,0
0.25,24,2,6,0,0,0
0.5,24,1,1,0,20,0
0.5,24,1,2,0,0,0
0.5,24,1,3,0,0,0
0.5,24,1,4,0,0,0
0.5,24,1,5,0,0,0
0.5,24,1,6,0,0,0
0.5,24,2,1,0,20,0
0.5,24,2,2,0,0,0
0.5,24,2,3,0,0,0
0.5,24,2,4,0,0,0
0.5,24,2,5,0,0,0
0.5,24,2,6,0,0,0
0.75,24,1,1,0,20,0
0.75,24,1,2,0,0,0
0.75,24,1,3,0,0,0
0.75,24,1,4,0,0,0
0.75,24,1,5,0,0,0
0.75,24,1,6,0,0,0
0.75,24,2,1,0,20,0
0.75,24,2,2,0,0,0
0.75,24,2,3,0,0,0
0.75,24,2,4,0,0,0
0.75,24,2,5,0,0,0
0.75,24,2,6,0,0,0
0,1,3,1,0,20,0
0,1,3,2,0,0,0
0,1,3,3,0,0,0
0,1,3,4,0,0,0
0,1,3,5,0,0,0
0,1,3,6,0,0,0
0,1,4,1,0,20,0
0,1,4,2,0,0,0
0,1,4,3,0,0,0
0,1,4,4,0,0,0
0,1,4,5,0,0,0
0,1,4,6,0,0,0
0.25,1,3,1,0,20,0
0.25,1,3,2,0,0,0
0.25,1,3,3,0,0,0
0.25,1,3,4,0,0,0
0.25,1,3,5,0,0,0
0.25,1,3,6,0,0,0
0.25,1,4,1,0,20,0
0.25,1,4,2,0,0,0
0.25,1,4,3,0,0,0
0.25,1,4,4,0,0,0
0.25,1,4,5,0,0,0
0.25,1,4,6,0,0,0
0.5,1,3,1,0,20,0
0.5,1,3,2,0,0,0
0.5,1,3,3,0,0,0
0.5,1,3,4,0,0,0
0.5,1,3,5,0,0,0
0.5,1,3,6,0,0,0
0.5,1,4,1,0,20,0
0.5,1,4,2,0,0,0
0.5,1,4,3,0,0,0
