sample_num,date_time,temp_F,RH
3,4/18/18 15:24,84.643,41.074
4,4/18/18 15:39,86.949,37.304
5,4/18/18 15:54,87.404,34.9
6,4/18/18 16:09,87.586,33.927
7,4/18/18 16:24,87.723,33.118
8,4/18/18 16:39,87.814,33.258
9,4/18/18 16:54,87.861,33.329
10,4/18/18 17:09,87.906,33.603
11,4/18/18 17:24,87.906,34.045
12,4/18/18 17:39,87.861,32.58
13,4/18/18 17:54,87.222,29.745
14,4/18/18 18:09,87.586,31.986
15,4/18/18 18:24,87.541,31.027
16,4/18/18 18:39,87.541,29.759
17,4/18/18 18:54,87.496,28.691
18,4/18/18 19:09,87.496,27.761
19,4/18/18 19:24,87.541,27.071
20,4/18/18 19:39,87.496,27
21,4/18/18 19:54,87.496,26.585
22,4/18/18 20:09,87.541,26.24
23,4/18/18 20:24,87.496,25.823
24,4/18/18 20:39,87.496,25.475
25,4/18/18 20:54,87.496,25.267
26,4/18/18 21:09,87.496,25.336
27,4/18/18 21:24,87.496,25.336
28,4/18/18 21:39,87.496,25.51
29,4/18/18 21:54,87.496,26.1
30,4/18/18 22:09,87.449,28.104
31,4/18/18 22:24,87.449,31.194
32,4/18/18 22:39,87.496,39.68
33,4/18/18 22:54,87.496,42.176
34,4/18/18 23:09,87.496,42.97
35,4/18/18 23:24,87.449,48.838
36,4/18/18 23:39,87.496,54.386
37,4/18/18 23:54,87.449,56.77
38,4/19/18 0:09,87.404,56.766
39,4/19/18 0:24,87.404,57.653
40,4/19/18 0:39,87.404,58.821
41,4/19/18 0:54,87.404,58.096
42,4/19/18 1:09,87.359,57.396
43,4/19/18 1:24,87.359,56.794
44,4/19/18 1:39,87.359,56.89
45,4/19/18 1:54,87.359,56.572
46,4/19/18 2:09,87.359,56.064
47,4/19/18 2:24,87.359,56.382
48,4/19/18 2:39,87.359,56.128
49,4/19/18 2:54,87.359,56.636
50,4/19/18 3:09,87.359,56.001
51,4/19/18 3:24,87.359,56.287
52,4/19/18 3:39,87.312,56.41
53,4/19/18 3:54,87.312,55.933
54,4/19/18 4:09,87.359,56.445
55,4/19/18 4:24,87.312,57.044
56,4/19/18 4:39,87.312,58.12
57,4/19/18 4:54,87.312,58.845
58,4/19/18 5:09,87.312,58.404
59,4/19/18 5:24,87.312,58.53
60,4/19/18 5:39,87.312,58.057
61,4/19/18 5:54,87.312,58.341
62,4/19/18 6:09,87.312,58.088
63,4/19/18 6:24,87.312,58.025
64,4/19/18 6:39,87.312,58.593
65,4/19/18 6:54,87.312,58.782
66,4/19/18 7:09,87.312,59.16
67,4/19/18 7:24,87.312,58.877
68,4/19/18 7:39,87.267,58.841
69,4/19/18 7:54,87.312,59.726
70,4/19/18 8:09,87.312,60.448
71,4/19/18 8:24,87.312,60.542
72,4/19/18 8:39,87.312,62.478
73,4/19/18 8:54,87.359,63.539
74,4/19/18 9:09,87.359,64.221
75,4/19/18 9:24,86.949,53.96
76,4/19/18 9:39,87.496,52.912
77,4/19/18 9:54,85.453,31.544
78,4/19/18 10:09,87.541,40.016
79,4/19/18 10:24,87.496,38.174
80,4/19/18 10:39,87.496,37.368
81,4/19/18 10:54,87.496,37.233
82,4/19/18 11:09,87.541,36.09
83,4/19/18 11:24,87.496,34.6
84,4/19/18 11:39,87.496,33.718
85,4/19/18 11:54,87.496,33.514
86,4/19/18 12:09,87.496,33.209
87,4/19/18 12:24,87.359,30.505
88,4/19/18 12:39,87.359,26.233
89,4/19/18 12:54,87.586,27.902
90,4/19/18 13:09,87.586,27.419
91,4/19/18 13:24,87.586,26.935
92,4/19/18 13:39,87.039,26.082
93,4/19/18 13:54,87.312,26.162
94,4/19/18 14:09,87.404,25.888
95,4/19/18 14:24,87.449,26.029
96,4/19/18 14:39,87.496,25.892
97,4/19/18 14:54,86.904,19.366
98,4/19/18 15:09,87.633,28.491
99,4/19/18 15:24,87.906,32.65
100,4/19/18 15:39,87.906,36.042
