time_point,date_time,temp_F,RH
3,5/31/18 11:03,87.449,34.429
4,5/31/18 11:18,88.272,33.247
5,5/31/18 11:33,88.363,33.149
6,5/31/18 11:48,88.455,34.819
7,5/31/18 12:03,88.502,38.633
8,5/31/18 12:18,88.594,43.635
9,5/31/18 12:33,88.594,46.5
10,5/31/18 12:48,88.639,49.702
11,5/31/18 13:03,88.639,49.605
12,5/31/18 13:18,88.686,50.581
13,5/31/18 13:33,88.686,50.517
14,5/31/18 13:48,88.686,51.002
15,5/31/18 14:03,88.686,50.938
16,5/31/18 14:18,88.686,51.132
17,5/31/18 14:33,88.731,51.232
18,5/31/18 14:48,88.731,51.426
19,5/31/18 15:03,88.777,51.688
20,5/31/18 15:18,88.731,51.749
21,5/31/18 15:33,88.731,51.814
22,5/31/18 15:48,88.731,51.652
23,5/31/18 16:03,88.686,51.681
24,5/31/18 16:18,88.731,51.652
25,5/31/18 16:33,88.686,52.23
26,5/31/18 16:48,88.686,51.875
27,5/31/18 17:03,88.686,52.036
28,5/31/18 17:18,88.686,52.004
29,5/31/18 17:33,88.686,52.068
30,5/31/18 17:48,88.686,52.294
31,5/31/18 18:03,88.686,52.52
32,5/31/18 18:18,88.686,52.294
33,5/31/18 18:33,88.686,52.391
34,5/31/18 18:48,88.686,52.391
35,5/31/18 19:03,88.639,52.323
36,5/31/18 19:18,88.686,52.036
37,5/31/18 19:33,88.639,52.065
38,5/31/18 19:48,88.639,52.581
39,5/31/18 20:03,88.639,52.516
40,5/31/18 20:18,88.686,52.52
41,5/31/18 20:33,88.639,52.259
42,5/31/18 20:48,88.686,52.326
43,5/31/18 21:03,88.686,52.391
44,5/31/18 21:18,88.686,52.197
45,5/31/18 21:33,88.686,52.52
46,5/31/18 21:48,88.686,52.391
47,5/31/18 22:03,88.639,52.033
48,5/31/18 22:18,88.594,52.158
49,5/31/18 22:33,88.594,52.158
50,5/31/18 22:48,88.594,51.997
51,5/31/18 23:03,88.594,52.126
52,5/31/18 23:18,88.547,51.445
53,5/31/18 23:33,88.547,51.413
54,5/31/18 23:48,88.547,51.316
55,6/1/18 0:03,88.502,51.086
56,6/1/18 0:18,88.502,50.762
57,6/1/18 0:33,88.502,50.957
58,6/1/18 0:48,88.455,50.921
59,6/1/18 1:03,88.455,51.277
60,6/1/18 1:18,88.455,51.47
61,6/1/18 1:33,88.455,51.244
62,6/1/18 1:48,88.455,51.309
63,6/1/18 2:03,88.41,51.079
64,6/1/18 2:18,88.41,51.079
65,6/1/18 2:33,88.41,51.467
66,6/1/18 2:48,88.363,50.785
67,6/1/18 3:03,88.363,50.655
68,6/1/18 3:18,88.363,51.076
69,6/1/18 3:33,88.318,50.198
70,6/1/18 3:48,88.318,50.425
71,6/1/18 4:03,88.318,50.62
72,6/1/18 4:18,88.272,50.875
73,6/1/18 4:33,88.272,50.487
74,6/1/18 4:48,88.272,50.487
75,6/1/18 5:03,88.272,50.098
76,6/1/18 5:18,88.272,50.26
77,6/1/18 5:33,88.272,50.26
78,6/1/18 5:48,88.272,50.875
79,6/1/18 6:03,88.227,50.354
80,6/1/18 6:18,88.272,50.487
81,6/1/18 6:33,88.272,50.616
82,6/1/18 6:48,88.227,50.969
83,6/1/18 7:03,88.227,51.195
84,6/1/18 7:18,88.227,51.292
85,6/1/18 7:33,88.227,51.195
86,6/1/18 7:48,88.272,51.747
87,6/1/18 8:03,88.272,52.36
88,6/1/18 8:18,88.272,52.714
89,6/1/18 8:33,88.272,53.389
90,6/1/18 8:48,88.318,53.2
91,6/1/18 9:03,88.363,53.685
92,6/1/18 9:18,88.363,53.075
93,6/1/18 9:33,88.41,53.335
94,6/1/18 9:48,88.41,53.592
95,6/1/18 10:03,88.41,53.72
96,6/1/18 10:18,88.41,53.881
97,6/1/18 10:33,88.455,54.621
98,6/1/18 10:48,88.455,54.876
99,6/1/18 11:03,88.502,54.88
100,6/1/18 11:18,88.547,54.852
101,6/1/18 11:33,88.594,54.567
102,6/1/18 11:48,88.594,53.574
103,6/1/18 12:03,88.594,53.863
104,6/1/18 12:18,88.594,53.445
105,6/1/18 12:33,88.594,53.06
106,6/1/18 12:48,88.594,52.77
107,6/1/18 13:03,88.594,53.317
108,6/1/18 13:18,88.639,53.834
109,6/1/18 13:33,88.639,54.251
110,6/1/18 13:48,88.686,53.067
111,6/1/18 14:03,88.686,52.938
112,6/1/18 14:18,88.731,53.327
113,6/1/18 14:33,88.777,53.363
114,6/1/18 14:48,88.777,52.72
115,6/1/18 15:03,88.777,52.784
116,6/1/18 15:18,88.822,52.53
117,6/1/18 15:33,88.777,52.849
118,6/1/18 15:48,88.777,52.784
