"V1","V2","V3","V4","V5","V6","V7"
196,4,0,0,0,0,1
163,1,0,0,0,0,1
180,2,1,0,0,0,1
147,3,0,0,0,0,1
173,0,0,0,0,0,1
186,2,0,0,0,0,1
294,11,0,0,0,0,1
259,9,0,0,0,0,1
230,6,0,0,0,0,1
249,4,2,0,0,0,1
305,5,0,0,0,0,1
293,1,0,0,0,0,1
196,7,1,0,0,0,6
151,5,1,0,0,0,6
165,8,0,0,0,0,6
179,0,0,0,0,0,6
149,1,0,0,0,0,6
263,6,0,0,0,0,6
231,8,1,0,1,0,6
239,2,0,0,0,0,6
218,2,0,0,0,0,6
261,8,0,0,0,0,6
207,6,0,0,0,0,6
170,8,1,0,0,0,12
178,12,2,0,0,0,12
189,5,1,0,0,0,12
164,16,1,0,0,0,12
169,20,2,0,0,0,12
154,12,0,0,0,0,12
278,24,1,1,0,0,12
242,15,2,0,0,0,12
303,16,3,0,0,0,12
210,13,0,0,0,0,12
267,11,0,0,0,0,12
124,116,16,1,0,0,12
175,4,0,0,1,0,24
177,10,0,0,0,0,24
157,30,9,4,0,0,24
183,49,7,0,0,0,24
181,19,1,0,0,0,24
199,9,4,0,0,0,24
276,24,1,1,0,0,24
202,41,4,1,0,0,24
203,12,1,0,1,0,24
186,51,3,0,0,1,24
268,46,3,0,0,0,24
249,27,0,1,0,0,24
160,26,6,0,0,0,48
114,47,6,3,0,0,48
139,49,9,1,0,0,48
109,38,9,1,0,0,48
157,24,5,0,0,0,48
154,20,7,2,0,0,48
253,54,3,0,0,0,48
172,37,4,0,1,0,48
225,39,4,0,0,0,48
247,49,3,0,0,0,48
212,53,1,0,0,0,48
243,39,7,0,0,0,48
