initial_count,initial_weight,landscape,date,total_count,total_w50,total_weight,initial_weight_per_beetle,weight_per_beetle_from_actual_week
2,NA,1,20-Jun,12,0,0.0309,0.0028,yes
4,NA,1,20-Jun,19,0,0.0495,0.0028,yes
8,NA,1,20-Jun,54,0.1338,0.1447,0.0028,yes
16,NA,1,20-Jun,NA,0.1309,0.3259,0.0028,yes
32,NA,1,20-Jun,NA,0.1297,0.5555,0.0028,yes
64,NA,1,20-Jun,NA,0.1305,0.5322,0.0028,yes
100,NA,1,20-Jun,NA,0.1257,1.0018,0.0028,yes
150,NA,1,20-Jun,NA,0.1302,0.8461,0.0028,yes
300,0.8413,1,20-Jun,NA,0.1222,1.0836,0.0028,yes
500,1.4008,1,20-Jun,NA,0.12,1.0594,0.0028,yes
750,2.0996,1,20-Jun,NA,0.1201,0.9602,0.0028,yes
1000,2.8002,1,20-Jun,NA,0.1144,1.2192,0.0028,yes
2,NA,2,27-Jun,2,0,0.0058,0.0028,no
4,NA,2,27-Jun,14,0,0.0418,0.0028,no
8,NA,2,27-Jun,38,0,0.0967,0.0028,no
16,NA,2,27-Jun,NA,0.1336,0.2069,0.0028,no
32,NA,2,27-Jun,NA,0.0608,0.1534,0.0028,no
64,NA,2,27-Jun,NA,0.1305,0.4126,0.0028,no
100,NA,2,27-Jun,NA,0.1292,0.6806,0.0028,no
150,NA,2,27-Jun,NA,0.1283,0.7419,0.0028,no
300,0.8438,2,27-Jun,NA,0.1214,1.0027,0.0028,no
500,1.4004,2,27-Jun,NA,0.1155,1.071,0.0028,no
750,2.0999,2,27-Jun,NA,0.118,1.0562,0.0028,no
1000,2.8015,2,27-Jun,NA,0.1114,1.3522,0.0028,no
2,NA,3,4-Jul,1,0,0.0022,0.0028,no
4,NA,3,4-Jul,16,0,0.0412,0.0028,no
8,NA,3,4-Jul,47,0,0.1341,0.0028,no
16,NA,3,4-Jul,NA,0.1332,0.2315,0.0028,no
32,NA,3,4-Jul,NA,0.1372,0.3383,0.0028,no
64,NA,3,4-Jul,NA,0.1352,0.7378,0.0028,no
100,NA,3,4-Jul,NA,0.1223,0.7912,0.0028,no
150,NA,3,4-Jul,NA,0.1299,1.039,0.0028,no
300,0.8406,3,4-Jul,NA,0.121,1.1514,0.0028,no
500,1.4005,3,4-Jul,NA,0.119,1.257,0.0028,no
750,2.0991,3,4-Jul,NA,0.1156,1.5528,0.0028,no
1000,2.8007,3,4-Jul,NA,0.1044,1.6008,0.0028,no
2,NA,4,11-Jul,1,0,0.0028,0.0028,no
4,NA,4,11-Jul,27,0,0.0658,0.0028,no
8,NA,4,11-Jul,53,0.1323,0.1398,0.0028,no
16,NA,4,11-Jul,32,0,0.0855,0.0028,no
32,NA,4,11-Jul,NA,0.134,0.2422,0.0028,no
64,NA,4,11-Jul,NA,0.1215,0.6604,0.0028,no
100,NA,4,11-Jul,NA,0.1262,0.7293,0.0028,no
150,NA,4,11-Jul,NA,0.1242,0.9835,0.0028,no
300,0.8409,4,11-Jul,NA,0.1231,1.1216,0.0028,no
500,1.4024,4,11-Jul,NA,0.1122,1.3708,0.0028,no
750,2.0996,4,11-Jul,NA,0.1005,1.6305,0.0028,no
1000,2.8007,4,11-Jul,NA,0.1051,1.3545,0.0028,no
2,NA,5,18-Jul,13,0,0.0358,0.0028,no
4,NA,5,18-Jul,20,0,0.052,0.0028,no
8,NA,5,18-Jul,48,0,0.1299,0.0028,no
16,NA,5,18-Jul,75,0.1326,0.2053,0.0028,no
32,NA,5,18-Jul,NA,0.1275,0.3609,0.0028,no
64,NA,5,18-Jul,NA,0.1235,0.5899,0.0028,no
100,NA,5,18-Jul,NA,0.13,0.6416,0.0028,no
150,NA,5,18-Jul,NA,0.1264,0.767,0.0028,no
300,0.8388,5,18-Jul,NA,0.117,1.1286,0.0028,no
500,1.3999,5,18-Jul,NA,0.1176,1.1793,0.0028,no
750,2.0989,5,18-Jul,NA,0.1145,1.5712,0.0028,no
1000,2.7998,5,18-Jul,NA,0.1151,1.0892,0.0028,no
2,NA,6,25-Jul,12,0,0.0342,0.0024,yes
4,NA,6,25-Jul,10,0,0.0273,0.0024,yes
8,NA,6,25-Jul,34,0,0.0891,0.0024,yes
16,NA,6,25-Jul,67,0.1338,0.1817,0.0024,yes
32,NA,6,25-Jul,NA,0.1328,0.3177,0.0024,yes
64,NA,6,25-Jul,NA,0.132,0.498,0.0024,yes
100,NA,6,25-Jul,NA,0.1307,0.5526,0.0024,yes
150,NA,6,25-Jul,NA,0.1296,0.668,0.0024,yes
300,0.7202,6,25-Jul,NA,0.1258,1.0024,0.0024,yes
500,1.2014,6,25-Jul,NA,0.1212,1.0641,0.0024,yes
750,1.7998,6,25-Jul,NA,0.1142,1.1478,0.0024,yes
1000,2.4019,6,25-Jul,NA,0.1123,1.0066,0.0024,yes
